coin,date_start,date_end,n_test,target,model,acc,f1
BTC,2023-12-27 00:00:00+00:00,2024-01-25 00:00:00+00:00,30,target_direction,Transformer,0.4666666666666667,0.5294117647058824
BTC,2024-01-26 00:00:00+00:00,2024-02-24 00:00:00+00:00,30,target_direction,LSTM,0.5666666666666667,0.5185185185185185
BTC,2024-01-26 00:00:00+00:00,2024-02-24 00:00:00+00:00,30,target_direction,Transformer,0.5,0.5161290322580645
BTC,2024-02-25 00:00:00+00:00,2024-03-25 00:00:00+00:00,30,target_direction,LSTM,0.6333333333333333,0.7755102040816326
BTC,2024-02-25 00:00:00+00:00,2024-03-25 00:00:00+00:00,30,target_direction,Transformer,0.5,0.5945945945945946
BTC,2024-03-26 00:00:00+00:00,2024-04-24 00:00:00+00:00,30,target_direction,LSTM,0.4666666666666667,0.6
BTC,2024-03-26 00:00:00+00:00,2024-04-24 00:00:00+00:00,30,target_direction,Transformer,0.6,0.625
BTC,2024-04-25 00:00:00+00:00,2024-05-24 00:00:00+00:00,30,target_direction,LSTM,0.4666666666666667,0.6363636363636364
BTC,2024-04-25 00:00:00+00:00,2024-05-24 00:00:00+00:00,30,target_direction,Transformer,0.6333333333333333,0.6857142857142857
BTC,2024-05-25 00:00:00+00:00,2024-06-23 00:00:00+00:00,30,target_direction,LSTM,0.43333333333333335,0.6046511627906976
BTC,2024-05-25 00:00:00+00:00,2024-06-23 00:00:00+00:00,30,target_direction,Transformer,0.5,0.5454545454545454
BTC,2024-06-24 00:00:00+00:00,2024-07-23 00:00:00+00:00,30,target_direction,LSTM,0.5333333333333333,0.6956521739130435
BTC,2024-06-24 00:00:00+00:00,2024-07-23 00:00:00+00:00,30,target_direction,Transformer,0.5,0.6153846153846154
BTC,2024-07-24 00:00:00+00:00,2024-08-22 00:00:00+00:00,30,target_direction,LSTM,0.5,0.5714285714285714
BTC,2024-07-24 00:00:00+00:00,2024-08-22 00:00:00+00:00,30,target_direction,Transformer,0.5,0.5161290322580645
BTC,2024-08-23 00:00:00+00:00,2024-09-21 00:00:00+00:00,30,target_direction,LSTM,0.36666666666666664,0.45714285714285713
BTC,2024-08-23 00:00:00+00:00,2024-09-21 00:00:00+00:00,30,target_direction,Transformer,0.43333333333333335,0.5405405405405406
BTC,2024-09-22 00:00:00+00:00,2024-10-21 00:00:00+00:00,30,target_direction,LSTM,0.5,0.6666666666666666
BTC,2024-09-22 00:00:00+00:00,2024-10-21 00:00:00+00:00,30,target_direction,Transformer,0.5666666666666667,0.48
BTC,2024-10-22 00:00:00+00:00,2024-11-20 00:00:00+00:00,30,target_direction,LSTM,0.6,0.75
BTC,2024-10-22 00:00:00+00:00,2024-11-20 00:00:00+00:00,30,target_direction,Transformer,0.5333333333333333,0.5333333333333333
BTC,2024-11-21 00:00:00+00:00,2024-12-20 00:00:00+00:00,30,target_direction,LSTM,0.5666666666666667,0.723404255319149
BTC,2024-11-21 00:00:00+00:00,2024-12-20 00:00:00+00:00,30,target_direction,Transformer,0.4,0.55
BTC,2024-12-21 00:00:00+00:00,2025-01-19 00:00:00+00:00,30,target_direction,LSTM,0.5333333333333333,0.6956521739130435
BTC,2024-12-21 00:00:00+00:00,2025-01-19 00:00:00+00:00,30,target_direction,Transformer,0.5,0.6341463414634146
BTC,2025-01-20 00:00:00+00:00,2025-02-18 00:00:00+00:00,30,target_direction,LSTM,0.4,0.55
BTC,2025-01-20 00:00:00+00:00,2025-02-18 00:00:00+00:00,30,target_direction,Transformer,0.5333333333333333,0.5625
BTC,2025-02-19 00:00:00+00:00,2025-03-20 00:00:00+00:00,30,target_direction,LSTM,0.4666666666666667,0.6363636363636364
BTC,2025-02-19 00:00:00+00:00,2025-03-20 00:00:00+00:00,30,target_direction,Transformer,0.4666666666666667,0.4666666666666667
BTC,2025-03-21 00:00:00+00:00,2025-04-19 00:00:00+00:00,30,target_direction,LSTM,0.5,0.6666666666666666
BTC,2025-03-21 00:00:00+00:00,2025-04-19 00:00:00+00:00,30,target_direction,Transformer,0.5333333333333333,0.5
BTC,2025-04-20 00:00:00+00:00,2025-05-19 00:00:00+00:00,30,target_direction,LSTM,0.5666666666666667,0.723404255319149
BTC,2025-04-20 00:00:00+00:00,2025-05-19 00:00:00+00:00,30,target_direction,Transformer,0.4666666666666667,0.5789473684210527
BTC,2025-05-20 00:00:00+00:00,2025-06-18 00:00:00+00:00,30,target_direction,LSTM,0.5666666666666667,0.723404255319149
BTC,2025-05-20 00:00:00+00:00,2025-06-18 00:00:00+00:00,30,target_direction,Transformer,0.5333333333333333,0.6666666666666666
BTC,2025-06-19 00:00:00+00:00,2025-07-18 00:00:00+00:00,30,target_direction,LSTM,0.5,0.6511627906976745
BTC,2025-06-19 00:00:00+00:00,2025-07-18 00:00:00+00:00,30,target_direction,Transformer,0.3333333333333333,0.4117647058823529
BTC,2025-07-19 00:00:00+00:00,2025-08-17 00:00:00+00:00,30,target_direction,LSTM,0.43333333333333335,0.6046511627906976
BTC,2025-07-19 00:00:00+00:00,2025-08-17 00:00:00+00:00,30,target_direction,Transformer,0.43333333333333335,0.45161290322580644
BTC,2025-08-18 00:00:00+00:00,2025-09-16 00:00:00+00:00,30,target_direction,LSTM,0.5,0.6666666666666666
BTC,2025-08-18 00:00:00+00:00,2025-09-16 00:00:00+00:00,30,target_direction,Transformer,0.4666666666666667,0.5555555555555556
BTC,2025-09-17 00:00:00+00:00,2025-10-16 00:00:00+00:00,30,target_direction,LSTM,0.5333333333333333,0.6956521739130435
BTC,2025-09-17 00:00:00+00:00,2025-10-16 00:00:00+00:00,30,target_direction,Transformer,0.6,0.7
BTC,2025-10-17 00:00:00+00:00,2025-11-15 00:00:00+00:00,30,target_direction,LSTM,0.5,0.6666666666666666
BTC,2025-10-17 00:00:00+00:00,2025-11-15 00:00:00+00:00,30,target_direction,Transformer,0.4,0.4375
BTC,2025-11-16 00:00:00+00:00,2025-12-15 00:00:00+00:00,30,target_direction,LSTM,0.5333333333333333,0.5882352941176471
BTC,2025-11-16 00:00:00+00:00,2025-12-15 00:00:00+00:00,30,target_direction,Transformer,0.3,0.43243243243243246
BTC,2025-12-16 00:00:00+00:00,2026-01-14 00:00:00+00:00,30,target_direction,LSTM,0.6,0.75
BTC,2025-12-16 00:00:00+00:00,2026-01-14 00:00:00+00:00,30,target_direction,Transformer,0.5,0.5714285714285714
BTC,2026-01-15 00:00:00+00:00,2026-02-13 00:00:00+00:00,30,target_direction,LSTM,0.3333333333333333,0.5
BTC,2026-01-15 00:00:00+00:00,2026-02-13 00:00:00+00:00,30,target_direction,Transformer,0.5,0.4444444444444444
BTC,2026-02-14 00:00:00+00:00,2026-03-15 00:00:00+00:00,30,target_direction,LSTM,0.6,0.6666666666666666
BTC,2026-02-14 00:00:00+00:00,2026-03-15 00:00:00+00:00,30,target_direction,Transformer,0.5666666666666667,0.5517241379310345
BTC,2026-03-16 00:00:00+00:00,2026-04-14 00:00:00+00:00,30,target_direction,LSTM,0.4666666666666667,0.6363636363636364
BTC,2026-03-16 00:00:00+00:00,2026-04-14 00:00:00+00:00,30,target_direction,Transformer,0.43333333333333335,0.5641025641025641
ETH,2021-04-11 00:00:00+00:00,2021-05-10 00:00:00+00:00,30,target_direction,LSTM,0.6666666666666666,0.8
ETH,2021-04-11 00:00:00+00:00,2021-05-10 00:00:00+00:00,30,target_direction,Transformer,0.6,0.7142857142857143
ETH,2021-05-11 00:00:00+00:00,2021-06-09 00:00:00+00:00,30,target_direction,LSTM,0.43333333333333335,0.6046511627906976
ETH,2021-05-11 00:00:00+00:00,2021-06-09 00:00:00+00:00,30,target_direction,Transformer,0.43333333333333335,0.6046511627906976
ETH,2021-06-10 00:00:00+00:00,2021-07-09 00:00:00+00:00,30,target_direction,LSTM,0.5666666666666667,0.723404255319149
ETH,2021-06-10 00:00:00+00:00,2021-07-09 00:00:00+00:00,30,target_direction,Transformer,0.6,0.7142857142857143
ETH,2021-07-10 00:00:00+00:00,2021-08-08 00:00:00+00:00,30,target_direction,LSTM,0.6333333333333333,0.7755102040816326
ETH,2021-07-10 00:00:00+00:00,2021-08-08 00:00:00+00:00,30,target_direction,Transformer,0.7,0.7804878048780488
ETH,2021-08-09 00:00:00+00:00,2021-09-07 00:00:00+00:00,30,target_direction,LSTM,0.5333333333333333,0.6956521739130435
ETH,2021-08-09 00:00:00+00:00,2021-09-07 00:00:00+00:00,30,target_direction,Transformer,0.6333333333333333,0.6857142857142857
ETH,2021-09-08 00:00:00+00:00,2021-10-07 00:00:00+00:00,30,target_direction,LSTM,0.5666666666666667,0.723404255319149
ETH,2021-09-08 00:00:00+00:00,2021-10-07 00:00:00+00:00,30,target_direction,Transformer,0.43333333333333335,0.5641025641025641
ETH,2021-10-08 00:00:00+00:00,2021-11-06 00:00:00+00:00,30,target_direction,LSTM,0.5333333333333333,0.6956521739130435
ETH,2021-10-08 00:00:00+00:00,2021-11-06 00:00:00+00:00,30,target_direction,Transformer,0.4666666666666667,0.6190476190476191
ETH,2021-11-07 00:00:00+00:00,2021-12-06 00:00:00+00:00,30,target_direction,LSTM,0.4666666666666667,0.6363636363636364
ETH,2021-11-07 00:00:00+00:00,2021-12-06 00:00:00+00:00,30,target_direction,Transformer,0.4666666666666667,0.5294117647058824
ETH,2021-12-07 00:00:00+00:00,2022-01-05 00:00:00+00:00,30,target_direction,LSTM,0.4666666666666667,0.6363636363636364
ETH,2021-12-07 00:00:00+00:00,2022-01-05 00:00:00+00:00,30,target_direction,Transformer,0.4,0.47058823529411764
ETH,2022-01-06 00:00:00+00:00,2022-02-04 00:00:00+00:00,30,target_direction,LSTM,0.5333333333333333,0.6956521739130435
ETH,2022-01-06 00:00:00+00:00,2022-02-04 00:00:00+00:00,30,target_direction,Transformer,0.5,0.6341463414634146
ETH,2022-02-05 00:00:00+00:00,2022-03-06 00:00:00+00:00,30,target_direction,LSTM,0.43333333333333335,0.6046511627906976
ETH,2022-02-05 00:00:00+00:00,2022-03-06 00:00:00+00:00,30,target_direction,Transformer,0.4,0.5
ETH,2022-03-07 00:00:00+00:00,2022-04-05 00:00:00+00:00,30,target_direction,LSTM,0.6333333333333333,0.7755102040816326
ETH,2022-03-07 00:00:00+00:00,2022-04-05 00:00:00+00:00,30,target_direction,Transformer,0.5333333333333333,0.631578947368421
ETH,2022-04-06 00:00:00+00:00,2022-05-05 00:00:00+00:00,30,target_direction,LSTM,0.4666666666666667,0.6363636363636364
ETH,2022-04-06 00:00:00+00:00,2022-05-05 00:00:00+00:00,30,target_direction,Transformer,0.43333333333333335,0.5853658536585366
ETH,2022-05-06 00:00:00+00:00,2022-06-04 00:00:00+00:00,30,target_direction,LSTM,0.4666666666666667,0.6363636363636364
ETH,2022-05-06 00:00:00+00:00,2022-06-04 00:00:00+00:00,30,target_direction,Transformer,0.6,0.6666666666666666
ETH,2022-06-05 00:00:00+00:00,2022-07-04 00:00:00+00:00,30,target_direction,LSTM,0.36666666666666664,0.5365853658536586
ETH,2022-06-05 00:00:00+00:00,2022-07-04 00:00:00+00:00,30,target_direction,Transformer,0.36666666666666664,0.45714285714285713
ETH,2022-07-05 00:00:00+00:00,2022-08-03 00:00:00+00:00,30,target_direction,LSTM,0.5,0.6666666666666666
ETH,2022-07-05 00:00:00+00:00,2022-08-03 00:00:00+00:00,30,target_direction,Transformer,0.3,0.2222222222222222
ETH,2022-08-04 00:00:00+00:00,2022-09-02 00:00:00+00:00,30,target_direction,LSTM,0.5,0.6666666666666666
ETH,2022-08-04 00:00:00+00:00,2022-09-02 00:00:00+00:00,30,target_direction,Transformer,0.5333333333333333,0.5625
ETH,2022-09-03 00:00:00+00:00,2022-10-02 00:00:00+00:00,30,target_direction,LSTM,0.43333333333333335,0.6046511627906976
ETH,2022-09-03 00:00:00+00:00,2022-10-02 00:00:00+00:00,30,target_direction,Transformer,0.4,0.5
ETH,2022-10-03 00:00:00+00:00,2022-11-01 00:00:00+00:00,30,target_direction,LSTM,0.5,0.6666666666666666
ETH,2022-10-03 00:00:00+00:00,2022-11-01 00:00:00+00:00,30,target_direction,Transformer,0.6333333333333333,0.6451612903225806
ETH,2022-11-02 00:00:00+00:00,2022-12-01 00:00:00+00:00,30,target_direction,LSTM,0.43333333333333335,0.6046511627906976
ETH,2022-11-02 00:00:00+00:00,2022-12-01 00:00:00+00:00,30,target_direction,Transformer,0.4666666666666667,0.5555555555555556
ETH,2022-12-02 00:00:00+00:00,2022-12-31 00:00:00+00:00,30,target_direction,LSTM,0.4666666666666667,0.6363636363636364
