coin,date_start,date_end,n_test,target,model,acc,auc,f1
BTC,2022-04-06 00:00:00+00:00,2022-05-05 00:00:00+00:00,30,target_direction,GARCH11_directional,0.4666666666666667,0.0,0.6363636363636364
BTC,2022-05-06 00:00:00+00:00,2022-06-04 00:00:00+00:00,30,target_direction,Naive_Persistence,0.43333333333333335,0.18666666666666668,0.41379310344827586
BTC,2022-05-06 00:00:00+00:00,2022-06-04 00:00:00+00:00,30,target_direction,Naive_Majority,0.5,0.5,0.6666666666666666
BTC,2022-05-06 00:00:00+00:00,2022-06-04 00:00:00+00:00,30,target_direction,Random_Walk,0.43333333333333335,0.18666666666666668,0.41379310344827586
BTC,2022-05-06 00:00:00+00:00,2022-06-04 00:00:00+00:00,30,target_direction,GARCH11_directional,0.5,0.0,0.6666666666666666
BTC,2022-06-05 00:00:00+00:00,2022-07-04 00:00:00+00:00,30,target_direction,Naive_Persistence,0.6,0.31100478468899523,0.45454545454545453
BTC,2022-06-05 00:00:00+00:00,2022-07-04 00:00:00+00:00,30,target_direction,Naive_Majority,0.36666666666666664,0.5,0.5365853658536586
BTC,2022-06-05 00:00:00+00:00,2022-07-04 00:00:00+00:00,30,target_direction,Random_Walk,0.5666666666666667,0.28708133971291866,0.43478260869565216
BTC,2022-06-05 00:00:00+00:00,2022-07-04 00:00:00+00:00,30,target_direction,GARCH11_directional,0.36666666666666664,0.0,0.5365853658536586
BTC,2022-07-05 00:00:00+00:00,2022-08-03 00:00:00+00:00,30,target_direction,Naive_Persistence,0.6333333333333333,0.37320574162679426,0.5217391304347826
BTC,2022-07-05 00:00:00+00:00,2022-08-03 00:00:00+00:00,30,target_direction,Naive_Majority,0.36666666666666664,0.5,0.5365853658536586
BTC,2022-07-05 00:00:00+00:00,2022-08-03 00:00:00+00:00,30,target_direction,Random_Walk,0.43333333333333335,0.19138755980861244,0.37037037037037035
BTC,2022-07-05 00:00:00+00:00,2022-08-03 00:00:00+00:00,30,target_direction,GARCH11_directional,0.36666666666666664,0.0,0.5365853658536586
BTC,2022-08-04 00:00:00+00:00,2022-09-02 00:00:00+00:00,30,target_direction,Naive_Persistence,0.4,0.14479638009049775,0.3076923076923077
BTC,2022-08-04 00:00:00+00:00,2022-09-02 00:00:00+00:00,30,target_direction,Naive_Majority,0.43333333333333335,0.5,0.6046511627906976
BTC,2022-08-04 00:00:00+00:00,2022-09-02 00:00:00+00:00,30,target_direction,Random_Walk,0.5,0.25339366515837103,0.4827586206896552
BTC,2022-08-04 00:00:00+00:00,2022-09-02 00:00:00+00:00,30,target_direction,GARCH11_directional,0.43333333333333335,0.0,0.6046511627906976
BTC,2022-09-03 00:00:00+00:00,2022-10-02 00:00:00+00:00,30,target_direction,Naive_Persistence,0.4666666666666667,0.21777777777777776,0.4666666666666667
BTC,2022-09-03 00:00:00+00:00,2022-10-02 00:00:00+00:00,30,target_direction,Naive_Majority,0.5,0.5,0.6666666666666666
BTC,2022-09-03 00:00:00+00:00,2022-10-02 00:00:00+00:00,30,target_direction,Random_Walk,0.4,0.15555555555555556,0.4375
BTC,2022-09-03 00:00:00+00:00,2022-10-02 00:00:00+00:00,30,target_direction,GARCH11_directional,0.5,0.0,0.6666666666666666
BTC,2022-10-03 00:00:00+00:00,2022-11-01 00:00:00+00:00,30,target_direction,Naive_Persistence,0.5333333333333333,0.28125,0.5
BTC,2022-10-03 00:00:00+00:00,2022-11-01 00:00:00+00:00,30,target_direction,Naive_Majority,0.4666666666666667,0.5,0.6363636363636364
BTC,2022-10-03 00:00:00+00:00,2022-11-01 00:00:00+00:00,30,target_direction,Random_Walk,0.5,0.25,0.5161290322580645
BTC,2022-10-03 00:00:00+00:00,2022-11-01 00:00:00+00:00,30,target_direction,GARCH11_directional,0.4666666666666667,0.0,0.6363636363636364
BTC,2022-11-02 00:00:00+00:00,2022-12-01 00:00:00+00:00,30,target_direction,Naive_Persistence,0.5333333333333333,0.25462962962962965,0.4166666666666667
BTC,2022-11-02 00:00:00+00:00,2022-12-01 00:00:00+00:00,30,target_direction,Naive_Majority,0.4,0.5,0.5714285714285714
BTC,2022-11-02 00:00:00+00:00,2022-12-01 00:00:00+00:00,30,target_direction,Random_Walk,0.43333333333333335,0.19444444444444445,0.41379310344827586
BTC,2022-11-02 00:00:00+00:00,2022-12-01 00:00:00+00:00,30,target_direction,GARCH11_directional,0.4,0.0,0.5714285714285714
BTC,2022-12-02 00:00:00+00:00,2022-12-31 00:00:00+00:00,30,target_direction,Naive_Persistence,0.26666666666666666,0.05429864253393665,0.15384615384615385
BTC,2022-12-02 00:00:00+00:00,2022-12-31 00:00:00+00:00,30,target_direction,Naive_Majority,0.43333333333333335,0.5,0.6046511627906976
BTC,2022-12-02 00:00:00+00:00,2022-12-31 00:00:00+00:00,30,target_direction,Random_Walk,0.5,0.24434389140271492,0.4444444444444444
BTC,2022-12-02 00:00:00+00:00,2022-12-31 00:00:00+00:00,30,target_direction,GARCH11_directional,0.43333333333333335,0.0,0.6046511627906976
BTC,2023-01-01 00:00:00+00:00,2023-01-30 00:00:00+00:00,30,target_direction,Naive_Persistence,0.4,0.055,0.55
BTC,2023-01-01 00:00:00+00:00,2023-01-30 00:00:00+00:00,30,target_direction,Naive_Majority,0.6666666666666666,0.5,0.8
BTC,2023-01-01 00:00:00+00:00,2023-01-30 00:00:00+00:00,30,target_direction,Random_Walk,0.6666666666666666,0.375,0.75
BTC,2023-01-01 00:00:00+00:00,2023-01-30 00:00:00+00:00,30,target_direction,GARCH11_directional,0.6666666666666666,0.0,0.8
BTC,2023-01-31 00:00:00+00:00,2023-03-01 00:00:00+00:00,30,target_direction,Naive_Persistence,0.5,0.1722488038277512,0.2857142857142857
BTC,2023-01-31 00:00:00+00:00,2023-03-01 00:00:00+00:00,30,target_direction,Naive_Majority,0.36666666666666664,0.5,0.5365853658536586
BTC,2023-01-31 00:00:00+00:00,2023-03-01 00:00:00+00:00,30,target_direction,Random_Walk,0.4666666666666667,0.22966507177033493,0.42857142857142855
BTC,2023-01-31 00:00:00+00:00,2023-03-01 00:00:00+00:00,30,target_direction,GARCH11_directional,0.36666666666666664,0.0,0.5365853658536586
BTC,2023-03-02 00:00:00+00:00,2023-03-31 00:00:00+00:00,30,target_direction,Naive_Persistence,0.4,0.15625,0.35714285714285715
BTC,2023-03-02 00:00:00+00:00,2023-03-31 00:00:00+00:00,30,target_direction,Naive_Majority,0.4666666666666667,0.5,0.6363636363636364
BTC,2023-03-02 00:00:00+00:00,2023-03-31 00:00:00+00:00,30,target_direction,Random_Walk,0.36666666666666664,0.125,0.2962962962962963
BTC,2023-03-02 00:00:00+00:00,2023-03-31 00:00:00+00:00,30,target_direction,GARCH11_directional,0.4666666666666667,0.0,0.6363636363636364
BTC,2023-04-01 00:00:00+00:00,2023-04-30 00:00:00+00:00,30,target_direction,Naive_Persistence,0.5,0.25,0.4827586206896552
BTC,2023-04-01 00:00:00+00:00,2023-04-30 00:00:00+00:00,30,target_direction,Naive_Majority,0.4666666666666667,0.5,0.6363636363636364
BTC,2023-04-01 00:00:00+00:00,2023-04-30 00:00:00+00:00,30,target_direction,Random_Walk,0.5666666666666667,0.3125,0.5185185185185185
BTC,2023-04-01 00:00:00+00:00,2023-04-30 00:00:00+00:00,30,target_direction,GARCH11_directional,0.4666666666666667,0.0,0.6363636363636364
BTC,2023-05-01 00:00:00+00:00,2023-05-30 00:00:00+00:00,30,target_direction,Naive_Persistence,0.5333333333333333,0.28125,0.5
BTC,2023-05-01 00:00:00+00:00,2023-05-30 00:00:00+00:00,30,target_direction,Naive_Majority,0.4666666666666667,0.5,0.6363636363636364
