coin,d,tau,mean_PE,std_PE,cv_PE,n_patterns,score
BTC,5,2,0.9464671745519134,0.007102060878854298,0.007503758259983108,120,54.07222611818833
BTC,5,3,0.9457611395168052,0.008766754809499167,0.009269523184224807,120,49.08067161158727
BTC,5,5,0.9392587017390289,0.009009536624156165,0.009592177967013239,120,47.94049458515692
BTC,6,1,0.8042685626989303,0.005140391060960488,0.006391386284830269,720,49.06653706546202
BTC,6,2,0.8033807667274344,0.005472437200111549,0.006811760284474658,720,47.786832142101225
BTC,6,3,0.8022636429854503,0.004546630027420083,0.005667251740955277,720,51.20640532559248
BTC,6,5,0.7929575596166172,0.005408819267005121,0.006821070310009253,720,47.14073153506609
DOGE,3,1,0.9975167142823022,0.0015432253684072004,0.0015470671782336803,6,86.38701922187043
DOGE,3,2,0.9974555297032659,0.0016729623021379742,0.0016772299639603867,6,85.4188478587583
DOGE,3,3,0.995125479220875,0.004266357009888598,0.00428725532505169,6,69.65127007116567
DOGE,3,5,0.9964524754712452,0.0016562755682796746,0.001662172164803667,6,85.44312855186017
DOGE,4,1,0.9883162158194378,0.0038332182007529128,0.003878534156773717,24,71.21185887899183
DOGE,4,2,0.9890955735086954,0.0023426857942261815,0.002368513070899127,24,79.96883439739075
DOGE,4,3,0.9874025939809662,0.004838145361995827,0.004899871026755871,24,66.26920408961098
DOGE,4,5,0.9849662063323184,0.004343735100681553,0.0044100346516980984,24,68.35279929158592
DOGE,5,1,0.942721536453397,0.0075208200047405405,0.007977774680980093,120,52.43816619032199
DOGE,5,2,0.94113862334474,0.006013996491348663,0.0063901282363367,120,57.42106527624646
DOGE,5,3,0.9427377765824698,0.009663900221968134,0.010250888913129806,120,46.55290839955372
DOGE,5,5,0.9394902912164621,0.009044770850071356,0.009627316997976065,120,47.86646546307581
DOGE,6,1,0.8027323656637094,0.004746557899447036,0.0059130017705423,720,50.4450622980326
DOGE,6,2,0.8002326251489148,0.005511603157256166,0.006887501189074399,720,47.38608845615574
DOGE,6,3,0.7985469499483226,0.005486804080610624,0.00687098495706336,720,47.33256250187075
DOGE,6,5,0.7919911707372027,0.005346479980323171,0.006750681292746989,720,47.281131847463016
ETH,3,1,0.9971036576125982,0.0015750783865649757,0.0015796536042548112,6,86.10824569451921
ETH,3,2,0.9962477695324193,0.0019590700176983227,0.0019664485859936525,6,83.25341995773881
ETH,3,3,0.9961583689822593,0.0027666911836024518,0.0027773607789154126,6,77.9627644721492
ETH,3,5,0.995818724941241,0.0023826571557548095,0.0023926615317391296,6,80.35551704456923
