date_start,date_end,n_test,model,target,acc,auc,f1,coin
2025-07-19 00:00:00+00:00,2025-08-17 00:00:00+00:00,30,"ARIMA(1,0,1)",target_direction,0.4666666666666667,0.3888888888888889,0.6363636363636364,ADA
2025-08-18 00:00:00+00:00,2025-09-16 00:00:00+00:00,30,"ARIMA(1,0,1)",target_direction,0.6,0.6205357142857143,0.6842105263157895,ADA
2025-09-17 00:00:00+00:00,2025-10-16 00:00:00+00:00,30,"ARIMA(1,0,1)",target_direction,0.5,0.5407239819004526,0.5945945945945946,ADA
2025-10-17 00:00:00+00:00,2025-11-15 00:00:00+00:00,30,"ARIMA(1,0,1)",target_direction,0.43333333333333335,0.47285067873303166,0.5405405405405406,ADA
2025-11-16 00:00:00+00:00,2025-12-15 00:00:00+00:00,30,"ARIMA(1,0,1)",target_direction,0.4,0.5,0.47058823529411764,ADA
2025-12-16 00:00:00+00:00,2026-01-14 00:00:00+00:00,30,"ARIMA(1,0,1)",target_direction,0.4,0.475,0.4375,ADA
2026-01-15 00:00:00+00:00,2026-02-13 00:00:00+00:00,30,"ARIMA(1,0,1)",target_direction,0.4,0.5,0.47058823529411764,ADA
2026-02-14 00:00:00+00:00,2026-03-15 00:00:00+00:00,30,"ARIMA(1,0,1)",target_direction,0.6,0.6380090497737556,0.6666666666666666,ADA
2026-03-16 00:00:00+00:00,2026-04-14 00:00:00+00:00,30,"ARIMA(1,0,1)",target_direction,0.4666666666666667,0.4932126696832579,0.5294117647058824,ADA
2026-04-15 00:00:00+00:00,2026-04-29 00:00:00+00:00,15,"ARIMA(1,0,1)",target_direction,0.3333333333333333,0.35714285714285715,0.5,ADA
2021-04-11 00:00:00+00:00,2021-05-10 00:00:00+00:00,30,"GARCH(1,1)",target_vol_regime,0.6,0.5,0.75,ADA
2021-05-11 00:00:00+00:00,2021-06-09 00:00:00+00:00,30,"GARCH(1,1)",target_vol_regime,0.9,0.5,0.9473684210526315,ADA
